id,stateName,senator1,senator1Twitter,senator2,senator2Twitter,allCount,allShare,AllShareOfTotal,age20UpCount,age20UpShare,age20UpShareOfTotal,ageTeenagerCount,ageTeenagerShare,ageTeenagerShareOfTotal,age16To24Count,age16To24Share,age16To24ShareOfTotal,age25To39Count,age25To39Share,age25To39ShareOfTotal,age40To54Count,age40To54Share,age40To54ShareOfTotal,age55UpCount,age55UpShare,age55UpShareOfTotal,blackOrHispanicCount,blackOrHispanicShare,blackOrHispanicShareOfTotal,blackOrHispanicMenCount,blackOrHispanicMenShare,blackOrHispanicMenShareOfTotal,blackOrHispanicWomenCount,blackOrHispanicWomenShare,blackOrHispanicWomenShareOfTotal,marriedParentsCount,marriedParentsShare,marriedParentsShareOfTotal,singleParentsCount,singleParentsShare,singleParentsShareOfTotal,dadsCount,dadsShare,dadsShareOfTotal,momsCount,momsShare,momsShareOfTotal,menCount,menShare,menShareOfTotal,menOfColorCount,menOfColorShare,menOfColorShareOfTotal,womenOfColorCount,womenOfColorShare,womenOfColorShareOfTotal,poorCount,poorShare,poorShareOfTotal,povertyCount,povertyShare,povertyShareOfTotal,otherRaceCount,otherRaceShare,otherRaceShareOfTotal,blackCount,blackShare,blackShareOfTotal,hispanicCount,hispanicShare,hispanicShareOfTotal,whiteCount,whiteShare,whiteShareOfTotal,womenCount,womenShare,womenShareOfTotal
AL,Alabama,Doug Jones (D),@SenDougJones,Richard Shelby (R),@SenShelby,"754,000",0.375,1.000,"693,000",0.356,0.919,"61,000",0.932,0.081,"232,000",0.846,0.307,"271,000",0.405,0.359,"145,000",0.223,0.193,"106,000",0.254,0.141,"333,000",0.535,0.442,"140,000",0.481,0.186,"193,000",0.582,0.256,"106,000",0.215,0.141,"111,000",0.552,0.147,"57,000",0.177,0.076,"159,000",0.432,0.211,"302,000",0.295,0.401,"150,000",0.458,0.199,"209,000",0.569,0.277,"231,000",0.700,0.307,"148,000",0.879,0.196,"26,000",0.361,0.034,"277,000",0.520,0.367,"57,000",0.620,0.075,"395,000",0.300,0.524,"452,000",0.458,0.599
AK,Alaska,Dan Sullivan (R),@SenDanSullivan,Lisa Murkowski (R),@lisamurkowski,"82,000",0.234,1.000,"72,000",0.212,0.875,"10,000",0.831,0.125,"35,000",0.693,0.423,"27,000",0.221,0.332,"11,000",0.111,0.140,"9,000",0.118,0.104,"14,000",0.391,0.171,"7,000",0.343,0.085,"7,000",0.446,0.085,"11,000",0.128,0.130,"10,000",0.298,0.125,"6,000",0.102,0.071,"15,000",0.249,0.183,"37,000",0.199,0.447,"21,000",0.322,0.253,"25,000",0.378,0.300,"24,000",0.560,0.289,"13,000",0.751,0.156,"31,000",0.335,0.382,*,*,*,"10,000",0.426,0.127,"37,000",0.166,0.447,"45,000",0.273,0.553
AZ,Arizona,Kyrsten Sinema (D),@kyrstensinema,Martha McSally (R),@MarthaMcSally,"1,040,000",0.348,1.000,"951,000",0.332,0.914,"89,000",0.754,0.086,"345,000",0.753,0.331,"361,000",0.352,0.347,"200,000",0.215,0.192,"135,000",0.235,0.129,"570,000",0.499,0.548,"283,000",0.453,0.272,"287,000",0.554,0.276,"169,000",0.232,0.163,"153,000",0.470,0.147,"118,000",0.218,0.113,"205,000",0.395,0.197,"478,000",0.305,0.460,"320,000",0.421,0.308,"340,000",0.514,0.327,"336,000",0.651,0.323,"198,000",0.784,0.191,"90,000",0.321,0.086,"51,000",0.396,0.049,"519,000",0.512,0.499,"380,000",0.243,0.366,"562,000",0.397,0.540
AR,Arkansas,Tom Cotton (R),@TomCottonAR,John Boozman (R),@JohnBoozman,"487,000",0.392,1.000,"450,000",0.376,0.924,"37,000",0.805,0.076,"142,000",0.795,0.291,"170,000",0.411,0.348,"102,000",0.258,0.209,"73,000",0.286,0.151,"166,000",0.575,0.341,"77,000",0.537,0.158,"89,000",0.613,0.183,"91,000",0.272,0.186,"70,000",0.566,0.145,"53,000",0.236,0.108,"108,000",0.463,0.222,"202,000",0.318,0.415,"86,000",0.498,0.176,"102,000",0.590,0.210,"166,000",0.699,0.341,"91,000",0.854,0.187,"22,000",0.389,0.045,"99,000",0.532,0.202,"67,000",0.651,0.138,"299,000",0.333,0.614,"285,000",0.469,0.585
CA,California,Dianne Feinstein (D),@DianneFeinstein,Kamala Harris (D),@KamalaHarris,"11,000",0.001,1.000,"11,000",0.001,0.938,"1,000",0.001,0.062,"4,000",0.002,0.341,"4,000",0.001,0.334,"2,000",0.000,0.209,"1,000",0.000,0.116,"5,000",0.001,0.455,"3,000",0.001,0.273,"2,000",0.001,0.182,"2,000",0.000,0.161,"1,000",0.001,0.108,"1,000",0.000,0.130,"2,000",0.001,0.139,"6,000",0.001,0.534,"4,000",0.001,0.358,"3,000",0.001,0.287,"3,000",0.001,0.269,"2,000",0.001,0.143,"2,000",0.001,0.169,0,0.000,0.036,"5,000",0.001,0.440,"4,000",0.001,0.355,"5,000",0.001,0.466
CO,Colorado,Cory Gardner (R),@SenCoryGardner,Michael Bennet (D),@SenatorBennet,"760,000",0.285,1.000,"666,000",0.260,0.876,"95,000",0.927,0.124,"296,000",0.795,0.389,"260,000",0.272,0.343,"119,000",0.146,0.156,"85,000",0.163,0.112,"312,000",0.449,0.411,"150,000",0.389,0.197,"162,000",0.524,0.213,"117,000",0.168,0.154,"79,000",0.382,0.104,"63,000",0.134,0.083,"133,000",0.308,0.175,"339,000",0.240,0.445,"172,000",0.364,0.226,"193,000",0.489,0.254,"216,000",0.610,0.284,"140,000",0.824,0.185,"52,000",0.306,0.069,"37,000",0.360,0.048,"275,000",0.464,0.362,"396,000",0.220,0.521,"422,000",0.335,0.555
CT,Connecticut,Chris Murphy (D),@ChrisMurphyCT,Richard Blumenthal (D),@SenBlumenthal,"465,000",0.263,1.000,"405,000",0.238,0.871,"60,000",0.901,0.129,"177,000",0.756,0.381,"142,000",0.273,0.306,"82,000",0.140,0.176,"63,000",0.148,0.137,"204,000",0.444,0.439,"90,000",0.394,0.194,"114,000",0.494,0.245,"51,000",0.119,0.111,"60,000",0.413,0.128,"29,000",0.106,0.063,"82,000",0.274,0.176,"193,000",0.218,0.414,"102,000",0.347,0.220,"133,000",0.456,0.286,"107,000",0.646,0.230,"61,000",0.807,0.132,"31,000",0.247,0.068,"65,000",0.373,0.140,"139,000",0.488,0.298,"229,000",0.194,0.494,"272,000",0.308,0.586
DE,Delaware,Tom Carper (D),@TomCarperforDE,Chris Coons (D),@ChrisCoons,"145,000",0.335,1.000,"133,000",0.318,0.920,"12,000",0.830,0.080,"43,000",0.788,0.295,"52,000",0.367,0.357,"26,000",0.186,0.178,"25,000",0.247,0.170,"63,000",0.461,0.434,"30,000",0.440,0.207,"34,000",0.482,0.234,"18,000",0.187,0.127,"20,000",0.475,0.139,"12,000",0.190,0.086,"26,000",0.346,0.180,"62,000",0.291,0.429,"33,000",0.399,0.228,"39,000",0.465,0.268,"35,000",0.714,0.238,"21,000",0.852,0.145,"9,000",0.296,0.060,"40,000",0.419,0.276,"23,000",0.559,0.161,"73,000",0.274,0.504,"83,000",0.377,0.571
DC,"Washington, DC",Eleanor Holmes Norton (D),@EleanorNorton,,,"15,000",0.042,1.000,"14,000",0.040,0.927,"1,000",0.165,0.073,"4,000",0.098,0.240,"7,000",0.041,0.472,"3,000",0.029,0.170,"2,000",0.032,0.119,"11,000",0.064,0.733,"6,000",0.071,0.400,"6,000",0.058,0.400,"1,000",0.023,0.070,"2,000",0.066,0.112,"1,000",0.032,0.066,"2,000",0.043,0.115,"8,000",0.044,0.496,"6,000",0.067,0.409,"6,000",0.056,0.411,"4,000",0.109,0.239,"3,000",0.133,0.183,"1,000",0.042,0.077,"8,000",0.063,0.542,"3,000",0.067,0.201,"3,000",0.018,0.179,"8,000",0.041,0.504
FL,Florida,Rick Scott (R),@ScottforFlorida,Marco Rubio (R),@marcorubio,"3,275,000",0.369,1.000,"3,089,000",0.358,0.943,"185,000",0.755,0.057,"869,000",0.787,0.265,"1,178,000",0.400,0.360,"716,000",0.246,0.219,"513,000",0.268,0.157,"1,889,000",0.470,0.577,"893,000",0.437,0.273,"995,000",0.505,0.304,"452,000",0.235,0.138,"428,000",0.483,0.131,"294,000",0.221,0.090,"585,000",0.395,0.179,"1,475,000",0.327,0.450,"960,000",0.423,0.293,"1,091,000",0.494,0.333,"1,079,000",0.678,0.329,"527,000",0.812,0.161,"163,000",0.352,0.050,"663,000",0.481,0.203,"1,225,000",0.465,0.374,"1,223,000",0.278,0.374,"1,800,000",0.412,0.550
